,Town,ED,Poll Site,Address,City,State
0,Albion,1.0,Hoag Library,134 S Main St,Albion,New York
1,Albion,2.0,Hoag Library,134 S Main St,Albion,New York
2,Albion,3.0,Hoag Library,134 S Main St,Albion,New York
3,Albion,4.0,Hoag Library,134 S Main St,Albion,New York
4,Albion,5.0,Hoag Library,134 S Main St,Albion,New York
5,Albion,6.0,Hoag Library,134 S Main St,Albion,New York
6,Barre,1.0,Barre Town Hall,14317 W Barre Rd,Albion,New York
7,Barre,2.0,Barre Town Hall,14317 W Barre Rd,Albion,New York
8,Carlton,1.0,Carlton Fire Co. Rec Hall,1853 Oak Orchard Rd,Albion,New York
9,Carlton,2.0,Carlton Fire Co. Rec Hall,1853 Oak Orchard Rd,Albion,New York
10,Carlton,3.0,Carlton Fire Co. Rec Hall,1853 Oak Orchard Rd,Albion,New York
11,Clarendon,1.0,Clarendon Town Hall,16385 Church St,Clarendon,New York
12,Clarendon,2.0,Clarendon Town Hall,16385 Church St,Clarendon,New York
13,Clarendon,3.0,Clarendon Town Hall,16385 Church St,Clarendon,New York
14,Gaines,1.0,Gaines Town Hall,14087 Ridge Rd,Albion,New York
15,Gaines,2.0,Gaines Town Hall,14087 Ridge Rd,Albion,New York
16,Gaines,3.0,Gaines Town Hall,14087 Ridge Rd,Albion,New York
17,Gaines,4.0,Gaines Town Hall,14087 Ridge Rd,Albion,New York
18,Kendall,1.0,Kendall Town Hall,1873 Kendall Rd,Kendall,New York
19,Kendall,2.0,Kendall Town Hall,1873 Kendall Rd,Kendall,New York
20,Kendall,3.0,Kendall Town Hall,1873 Kendall Rd,Kendall,New York
21,Murray,1.0,Murray Town Hall/Highway,3840 Fancher Rd,Holley,New York
22,Murray,2.0,Murray Town Hall/Highway,3840 Fancher Rd,Holley,New York
23,Murray,3.0,Murray Town Hall/Highway,3840 Fancher Rd,Holley,New York
24,Murray,4.0,Murray Town Hall/Highway,3840 Fancher Rd,Holley,New York
25,Murray,5.0,Murray Town Hall/Highway,3840 Fancher Rd,Holley,New York
26,Murray,6.0,Murray Town Hall/Highway,3840 Fancher Rd,Holley,New York
27,Ridgeway,1.0,Ridgeway Volunteer Fire Co,11392 Ridge Rd,Medina,New York
28,Ridgeway,2.0,Ridgeway Town Hall,410 West Ave,Medina,New York
29,Ridgeway,3.0,Ridgeway Volunteer Fire Co,11392 Ridge Rd,Medina,New York
30,Ridgeway,4.0,Ridgeway Town Hall,410 West Ave,Medina,New York
31,Ridgeway,5.0,Ridgeway Town Hall,410 West Ave,Medina,New York
32,Ridgeway,6.0,Ridgeway Volunteer Fire Co,11392 Ridge Rd,Medina,New York
33,Ridgeway,7.0,Ridgeway Volunteer Fire Co,11392 Ridge Rd,Medina,New York
34,Shelby,1.0,Shelby Town Hall,4062 Salt Works Rd,Medina,New York
35,Shelby,2.0,Shelby Town Hall,4062 Salt Works Rd,Medina,New York
36,Shelby,3.0,Shelby Town Hall,4062 Salt Works Rd,Medina,New York
37,Shelby,4.0,Shelby Town Hall,4062 Salt Works Rd,Medina,New York
38,Yates,1.0,Yates Town Hall,8 S Main St,Lyndonville,New York
39,Yates,2.0,Yates Town Hall,8 S Main St,Lyndonville,New York
40,Poll Site List.xls,,Rev. 3/11/2019,,,New York
